p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.1760550749962188e-81,0.7456587555859673,0.996,0.994,2.014464737961023e-77,10,Rps19
1.2833270046706373e-80,1.8906678772261725,0.702,0.361,2.1982108263003345e-76,10,Sdc4
8.292881492101463e-80,0.8361666220468589,0.992,0.99,1.4204876707820594e-75,10,Rpl23a
6.107125342518465e-79,0.881095062375763,0.992,0.99,1.0460894999199879e-74,10,Rps5
2.133117845921914e-78,0.7547832029840476,0.99,0.991,3.653817558279646e-74,10,Rpl8
2.7507090624598165e-78,5.7471394784077905,0.03,0.001,4.71168955308742e-74,10,Ap3b2
3.497005211293142e-78,0.7460110504731476,0.994,0.988,5.990020226424023e-74,10,Rpl26
1.8659554997386685e-77,0.7196377223232506,0.996,0.992,3.196195175502365e-73,10,Rps3a1
3.792696068515028e-77,2.9911314363504067,0.148,0.021,6.496509095759391e-73,10,Bcl7a
1.4019976173864667e-76,0.7516161166193149,0.998,0.989,2.4014817188212786e-72,10,Rpl14
2.755909565264007e-76,6.12565110166152,0.026,0,4.720597494340717e-72,10,Grik3
3.820842723680443e-76,3.3842532611800533,0.112,0.012,6.544721501392231e-72,10,Ttyh1
9.405068881536145e-76,0.7822177982306027,0.996,0.987,1.6109942487183263e-71,10,Rpl6
1.1948274862097113e-75,0.6931294982430174,0.998,0.996,2.0466200011286146e-71,10,Rpl13a
1.258140437633005e-75,0.7573810294750727,0.994,0.989,2.1550687556215745e-71,10,Rps3
3.4569971775836253e-75,0.8294935159535433,0.99,0.986,5.921490465482992e-71,10,Rpl17
2.148610067194591e-74,2.8604903947193385,0.176,0.03,3.6803541840976146e-70,10,Ncald
5.227215316808002e-74,0.6250998826142937,0.994,0.995,8.953697116160426e-70,10,Rps23
5.678564814093275e-74,2.1172753436279157,0.704,0.416,9.72681367006037e-70,10,Egr1
8.39631542936849e-74,0.7970352975074917,0.99,0.973,1.4382048698965286e-69,10,Rpl10a
1.49726657694713e-73,0.8024694471926868,0.998,0.986,2.564667919652739e-69,10,Rps6
1.5084275650287695e-73,0.6443089044732409,1,0.991,2.5837855761377794e-69,10,Rpl35a
1.9413156040970384e-73,1.0516009077565633,0.928,0.891,3.325279498257817e-69,10,Rpl5
2.0703274978404873e-73,0.6894495107265519,0.99,0.985,3.5462639710509706e-69,10,Rps17
3.2828255903058565e-73,1.7758837787219173,0.75,0.518,5.623151953634901e-69,10,Rpl9-ps6
3.97730168604992e-73,1.0584202631186097,0.964,0.892,6.812720058034908e-69,10,Hsp90ab1
5.358922980439908e-73,1.6830136377956666,0.724,0.458,9.179299173195518e-69,10,Rps12-ps3
9.490134986575391e-73,1.5091790956788165,0.664,0.33,1.6255652218504988e-68,10,Gas1
2.2223215169952706e-72,0.6985072249129805,0.988,0.985,3.806614526461199e-68,10,Rpl36
4.2416007912187844e-71,0.7195019633557695,0.986,0.983,7.265437995278655e-67,10,Rpl31
4.54169015694618e-71,0.750384809033632,0.984,0.972,7.779461069833111e-67,10,Rps10
8.328074327102583e-71,0.9164589484871779,0.964,0.922,1.4265158514894015e-66,10,Rpl12
1.668886453517896e-70,0.6163728431942044,0.996,0.993,2.8586356062308044e-66,10,Rps27a
5.703994801742154e-69,2.762012754889321,0.154,0.025,9.770372695904136e-65,10,Tst
6.031200696350799e-69,4.447579196548883,0.044,0.002,1.0330843672779282e-64,10,Tnfrsf19
1.0051988348997879e-68,0.8408354272962764,0.994,0.973,1.7218050842998467e-64,10,Rps12
1.885682319165561e-68,0.7707235118852385,0.988,0.981,3.229985244498689e-64,10,Rpl3
2.9575884689043435e-68,3.4910184578137797,0.094,0.01,5.06605328838625e-64,10,Wnt4
4.062260506709154e-68,0.6562166541763306,1,0.998,6.95824602194211e-64,10,Rpl13
1.0108721506366546e-67,3.4873253753416384,0.078,0.007,1.7315229068255257e-63,10,Lrrn1
3.119282783044238e-67,1.4491559500589863,0.802,0.605,5.343019479076476e-63,10,Gm11808
3.254097442331045e-67,0.6237289632889813,0.998,0.994,5.573943508968847e-63,10,Rps27
1.160874618653959e-66,1.7010127178039922,0.438,0.161,1.9884621342923663e-62,10,Vcam1
1.6574740866280622e-66,1.6557552425265119,0.488,0.192,2.839087362985208e-62,10,Gem
3.631685951671527e-66,1.1050589224156777,0.94,0.89,6.220714866618159e-62,10,Gnas
6.24932708088325e-66,4.143798448371779,0.056,0.003,1.070447235684492e-61,10,Dclk3
8.828194773657853e-66,0.5555603380685477,0.998,0.993,1.5121814827798537e-61,10,Rpl11
9.548240803826867e-66,2.0826360924240417,0.51,0.229,1.6355181672875038e-61,10,Hspa1b
1.6387301265792294e-65,1.1534642199590643,0.888,0.721,2.806980833817562e-61,10,Rps27rt
1.8356329021060336e-65,2.0234646326181522,0.318,0.093,3.144255598017425e-61,10,Arhgap24
2.74239599270096e-65,0.7270992636144706,0.988,0.976,4.697450095897474e-61,10,Rpl28
2.981619309234092e-65,4.421106985187691,0.048,0.002,5.107215714787077e-61,10,Kcnn3
3.785589505593112e-65,0.5989146334338362,0.992,0.993,6.484336264130441e-61,10,Rps16
8.22605005409518e-65,1.7515853834389823,0.574,0.287,1.4090401137659633e-60,10,Rps18-ps3
1.4321359030131357e-64,1.7784386605570928,0.446,0.171,2.4531055882712002e-60,10,Rpl7a-ps5
1.850876262466186e-64,2.1755305090773827,0.868,0.718,3.17036594997833e-60,10,Fos
1.949570575220473e-64,0.6316211012227972,0.988,0.988,3.3394194382951485e-60,10,Rps15a
4.5334926397043014e-63,2.228054029993834,0.824,0.643,7.765419542549498e-59,10,Jun
6.113105726338764e-63,2.0494762054840834,0.852,0.712,1.0471138798645668e-58,10,Junb
1.0136727489460587e-62,0.6426972084320655,0.996,0.995,1.736320051669704e-58,10,Rps18
4.896731269632405e-62,5.110544209271312,0.032,0.001,8.387610991753347e-58,10,Mlxipl
8.85597096151039e-62,5.547114870099796,0.024,0,1.5169392659971148e-57,10,Mylk2
1.5869391120079698e-61,0.6688696801519556,0.988,0.981,2.7182680049584517e-57,10,Rps20
2.4496681762481928e-61,0.6442445702799264,1,0.997,4.1960366190955296e-57,10,Rpl18a
2.9394240242732205e-61,0.5869830458082914,0.994,0.992,5.034939411177599e-57,10,Tpt1
6.258365635758705e-61,1.9493575449066989,0.422,0.162,1.0719954497491088e-56,10,Slc43a3
