p_val,avg_log2FC,pct.1,pct.2,p_val_adj
7.882892674314408e-17,-1.0853914912306442,1,1,2.0880994404991437e-12
1.0130037533156723e-16,2.286112960417693,1,1,2.6833456421578845e-12
1.0721488559270378e-16,-0.8889686876112557,1,1,2.8400151044651305e-12
1.5934085215052536e-16,3.0833467327781072,1,1,4.220779832615267e-12
2.5982330763347965e-16,3.677062203654728,1,1,6.882459595903242e-12
3.7353256734039525e-16,-1.603341030036011,1,1,9.89450417627973e-12
4.1391201016911653e-16,2.9746530480678928,1,1,1.0964115237369728e-11
7.122212696042554e-16,2.1977241656297544,1,1,1.8866029210547122e-11
8.142696619236125e-16,3.6408157354546735,1,1,2.1569189074694574e-11
8.668261152580132e-16,0.3096844991326151,1,1,2.2961356967069512e-11
1.212780232762048e-15,2.9533499067011793,1,1,3.2125335585633894e-11
1.5147216818177497e-15,2.747489703938741,1,1,4.012346262967037e-11
1.5760643805637506e-15,-0.10275957442520145,1,1,4.174836937675319e-11
1.8894010358960092e-15,5.446049406716551,1,1,5.0048344039849385e-11
2.17644773574268e-15,2.283594270482193,1,1,5.765192407208785e-11
2.2281396207787667e-15,-0.2815703572712218,1,1,5.902119041480875e-11
2.3423665578773225e-15,0.5434333803411793,1,1,6.20469477516124e-11
2.3947802084561576e-15,-2.471305718925589,1,1,6.343533294179516e-11
2.93092545303272e-15,-1.97982211806237,0.75,1,7.763728432538372e-11
3.1887263497350302e-15,2.865229333285302,1,1,8.446617227813122e-11
3.2859262058020057e-15,2.5152409326384353,1,1,8.704089926548933e-11
3.553945647242124e-15,3.0808349909620905,1,1,9.414046624979662e-11
3.559496879344353e-15,2.411771560815037,1,1,9.428751283695258e-11
4.373616509939041e-15,2.227026845626523,1,1,1.1585272773177525e-10
5.567291627553658e-15,3.8388601119828265,1,1,1.4747198792226885e-10
5.690191149518956e-15,0.04601239775683652,1,1,1.507274733596076e-10
7.43846968024785e-15,2.9974578054375476,1,1,1.970376233600853e-10
9.003274733851643e-15,3.0735404650179694,1,1,2.3848774442499616e-10
9.960519055885993e-15,2.9405830869434064,1,1,2.638441892713641e-10
1.0242418855586886e-14,2.2442840355220124,1,1,2.7131143306564103e-10
1.2567408533971276e-14,2.176007994531682,1,1,3.3289808465636514e-10
1.3238307058622561e-14,2.643795379429254,1,1,3.5066951567585304e-10
1.340949361021277e-14,0.10144526355954575,1,1,3.5520407624092605e-10
1.7025449806100744e-14,2.8205624757673453,1,1,4.509871399138026e-10
1.7144102272029226e-14,-0.8006911917765933,1,1,4.541301250837822e-10
1.8632340958274553e-14,2.8345763907926287,1,1,4.935520796437346e-10
2.7835590018485453e-14,0.018736562581585403,1,1,7.373369439996612e-10
3.1556199072692115e-14,0.6450364933632216,1,1,8.358921572365415e-10
3.3635423087185973e-14,-0.9048427669596601,1,1,8.909687221564692e-10
3.9198771260501106e-14,3.115112116812929,1,1,1.0383362519194139e-9
5.994661553343381e-14,2.689117045284412,1,1,1.5879258988651283e-9
