p_val,avg_log2FC,pct.1,pct.2,p_val_adj
0.0331137240270349,-2.9068905956085187,0.25,0.75,1
0.033224382907478034,-1.0395283641866375,1,1,1
0.03332249239320202,1.0458036896131246,1,1,1
0.03336458325273887,2.807354922057604,1,0.25,1
0.03361068357064568,1.127414706126351,1,1,1
0.03365464693022346,0.7243655573865722,1,0.75,1
0.03397245085364795,-2.0874628412503395,0.5,0.75,1
0.03403265945877864,-2,0.75,0.75,1
0.03409922253296856,-1.584962500721156,0.5,1,1
0.03488969902772135,3.3219280948873626,1,0,1
0.03499916863305026,0.38039135647195277,1,1,1
0.0353590012083724,1.3219280948873622,1,1,1
0.03542456834503827,-1.0356239097307216,1,1,1
0.03544717694540524,-1.1030934929641036,1,1,1
0.03601803531580621,-0.9400574595437181,1,1,1
0.036754542502392566,2.700439718141092,1,0.25,1
0.03680980757195365,-1.0170735133589415,1,1,1
0.03704234642357447,0.6048620581588615,1,1,1
0.03715161909340866,-1.9999999999999998,0.5,1,1
0.03750864721920341,-0.9088521119418047,1,1,1
0.037607852905178665,-2.4594316186372973,0.25,0.75,1
0.037981623509501676,-0.9328858041414629,1,1,1
0.038347707961508444,-2.3219280948873626,0.25,0.5,1
0.03875761591481343,-2.3219280948873626,0.25,0.5,1
0.03898647835986403,-0.44654847202406067,1,1,1
0.03925565720284213,-1.3219280948873622,0.5,1,1
0.03927436710963322,-1.8073549220576042,0.25,0.75,1
0.039426584677122054,1.584962500721156,1,0.75,1
0.03954676967879093,0.4664228855457555,1,1,1
0.039776378822095185,0.46777896135081676,1,1,1
0.03987620858058957,-1.523561956057013,1,1,1
0.0401859601557181,-2.807354922057604,0,1,1
0.04023564811130789,-1.523561956057013,1,1,1
0.040265683595611466,0.5510151687978189,1,1,1
0.04067664025756406,1.584962500721156,1,0.75,1
0.04081626972521276,-1.0324214776923775,1,1,1
0.041082200035050725,-2.4594316186372973,0.25,0.75,1
0.04122158993025324,-2.584962500721156,0.25,0.75,1
0.04203672539877571,-2.222392421336448,0.25,1,1
0.04209294030637109,-0.7997013495141689,1,1,1
0.04248502891476513,0.537656785942799,1,1,1
0.04259306174548068,-0.9068905956085183,1,1,1
0.042764102233791276,-2.3219280948873626,0.25,0.75,1
0.04283223462457211,-0.730160416261092,1,1,1
0.04310831132096607,-2.415037499278844,0.25,0.75,1
0.043507077161629854,-1.4854268271702418,0.75,1,1
0.04355002181674712,1.4854268271702418,1,0.75,1
0.04373394735642228,1.3410369178350665,1,1,1
0.04377623652926956,-1.68805599368526,0.75,0.75,1
0.04401959022407364,0.32757465802850483,1,1,1
0.0441413949341712,2,1,0.5,1
0.044254041488597046,-2.169925001442312,0.25,1,1
0.04426213015407324,-1.736965594166206,0.5,1,1
0.04433788913922965,-3,0.5,0.75,1
0.04520966812122149,-1.5849625007211563,1,1,1
0.04558096272806307,-2.169925001442312,0.5,1,1
0.046335845873609095,3.584962500721156,1,0,1
0.04650979501569175,4.754887502163468,0.75,0,1
0.047187552642141244,-3.807354922057604,0,0.75,1
0.04726230803455138,-2.807354922057604,0,0.75,1
0.047435959887979516,1,1,0.75,1
0.04766730020115004,-2.584962500721156,0,0.75,1
0.04776758017175035,0.40198134645339767,1,1,1
0.04854836622354889,0.6249605686530755,1,1,1
0.048942207965775114,-3.321928094887362,0.25,0.75,1
0.0489471483958455,0.3521602963067778,1,1,1
0.049330450667756744,-1.0374747054186626,1,1,1
0.04953494126868971,-1.415037499278844,1,1,1
0.04968963188115659,-1.8744691179161412,0.5,1,1
0.0500437728555485,-3,0,0.75,1
0.050460119060352394,1.514573172829758,1,0.75,1
0.05048238523773242,1.6520766965796931,1,0.75,1
0.050486460764854225,-3.169925001442312,0,0.75,1
0.05059048630484535,-1.6629650127224296,0.75,1,1
0.05268216502122811,-3,0,0.75,1
0.05277316567932486,0.9068905956085187,1,0.75,1
0.05298967647918654,-1.2954558835261714,1,1,1
0.053499920788528284,-0.9142701259741162,0.75,1,1
0.05366113026734044,-1.6629650127224296,0.75,1,1
0.05430957055255424,0.568283759574526,1,1,1
0.054574551616083954,1.3219280948873626,1,1,1
0.054684517557602015,-0.9526942852216433,1,1,1
0.05483683693593519,-1.2016338611696507,1,1,1
0.055018422069826045,1,1,1,1
0.05547726724045341,-1.6780719051126376,0.5,0.75,1
0.055500207873176104,0.6256044852185019,1,1,1
0.05550052701926428,-0.5553893853378096,1,1,1
0.05586468518759651,-1.584962500721156,0.5,0.75,1
0.055901964492088334,-2.584962500721156,0,1,1
0.05625608545904212,1.7655347463629771,1,0.75,1
0.0564372603790096,-3.807354922057604,0,0.75,1
0.056673863793516986,-2.169925001442312,0.25,0.75,1
