umapintegratedsctrpca_1,umapintegratedsctrpca_2,SCT_snn_res.0.8
-13.75869649572271,4.753413675033262,7
2.648665965367378,12.65019321223419,10
2.7929807312975536,11.667549131118466,10
1.68972343282801,-2.8684394381411766,26
1.8911402829180368,11.357566831313779,10
0.7556082017908702,1.438750384055784,14
6.09800344781977,5.237561223708799,22
0.9426929958353648,8.777215955459287,17
-0.9738264672269216,-4.3241968176730365,19
4.770084441472114,-9.495621683395694,5
-12.699488579462944,3.7001686074368263,7
3.473438561726631,-0.9918411395915244,20
1.4522437460909494,10.35589217921417,17
-0.958288132380425,-3.7955377123721337,19
4.484057009984077,-8.149653436935733,5
-1.7972400776852957,-7.267841341293642,15
7.96992260294062,-6.3529934904940815,2
3.664406836796821,-7.812440874374697,5
-2.2021390788068165,-5.7419166586764545,15
-6.500491558741509,-0.8054274342425559,1
2.49427038507563,12.421808240615537,10
-1.2660045020093313,-3.396115543640444,19
6.1492858536730415,-5.036234857834169,2
1.9257541306505808,12.414505002700498,10
4.743465960789741,-8.711921694076846,5
4.570417464543403,-8.094296457565616,5
3.1101000912676464,11.684374807082822,10
4.311751426030219,-6.779950144089052,2
2.5455668576250683,-5.722147466934511,16
2.485038340855659,10.09652995845001,11
9.516552985478462,-5.30682468632538,0
11.008710921574654,-2.9620482943423485,0
-1.5490397803296438,-2.6474146864779686,19
4.6849303849230415,-0.00506899724085072,21
1.4325844653139719,10.248744008742978,17
-9.65405553502935,-1.1073007605441305,3
2.205428660679878,-0.9647714517482017,20
3.9738228924761425,-6.491448881424257,2
1.6200495369921335,-2.919254066742251,26
7.222862304020942,-4.4595727942355365,4
6.509995520878852,8.2472629525296,12
2.907535613347114,10.257681844436338,17
3.1660602696428906,11.499767301284482,10
3.0820196278582226,-6.822917463577578,5
3.593016446400703,-5.792644502914736,16
5.109907210637153,-9.348884584701846,5
2.6519728310595165,-6.921529772079775,5
2.340694487858833,12.074428556167295,10
-9.06553357763189,-0.6708447358973716,3
-0.9965668313016286,12.05776977320831,11
3.220722497273506,11.122937200271299,17
-7.457261978815972,-3.5783762953646874,3
3.061299145985664,12.502473828994443,10
7.120900214482368,6.7780513741604596,12
3.8281953938494335,-7.533344270981142,5
7.681409896184028,-7.248949529922792,2
2.7827761776934277,12.265004155837705,10
4.701540053654731,-5.420030596054384,16
5.934760630894721,7.206065175735167,12
-7.5998315207471245,-1.1244276783831808,3
4.834322036076606,-5.9377713225253315,16
-6.3560242049207085,-4.592811109817812,9
5.108988822270454,0.334415403806379,21
2.6809931405077587,12.447299955093076,10
3.5183437474260937,11.92192935725372,10
2.089056552220405,11.349020002090146,10
-8.583290039729057,-2.4187488577731346,9
-1.010010658930718,-3.8842260859378075,19
-0.10688814444440511,6.553360460006407,13
3.5839329369555126,11.675683019363095,10
